code_origine,origine,code_destination,destination,flux_sans_transport,flux_a_pied,flux_deux_roues,flux_voiture,flux_transport_en_commun
69034,Caluire-et-Cuire,69149,Oullins,0.0,0.0,0.0,20.39797402493845,7.872031276246671
69034,Caluire-et-Cuire,69152,Pierre-Bénite,0.0,3.16311300220815,5.869188106757731,34.150114628691036,5.25407090909268
69034,Caluire-et-Cuire,69154,Pollionnay,0.0,0.0,0.0,3.0804365672828298,0.0
69034,Caluire-et-Cuire,69168,Rochetaillée-sur-Saône,0.0,0.0,0.0,2.00467749617888,0.0
69034,Caluire-et-Cuire,69170,Rontalon,0.0,0.0,0.0,2.6883787421311496,0.0
69034,Caluire-et-Cuire,69175,Savigny,0.0,0.0,0.0,4.26134777663066,0.0
69034,Caluire-et-Cuire,69179,Beauvallon,0.0,0.0,0.0,3.07022063356521,0.0
69034,Caluire-et-Cuire,69191,Saint-Cyr-au-Mont-d'Or,3.25107063495139,1.02523175078905,3.38816185154512,57.198862782402614,15.565115420887837
69034,Caluire-et-Cuire,69194,Saint-Didier-au-Mont-d'Or,0.0,0.0,1.20321583530824,46.716815782863705,7.310508167906191
69034,Caluire-et-Cuire,69199,Saint-Fons,0.0,0.0,6.42148476015708,54.2167329470438,8.219596402998238
69034,Caluire-et-Cuire,69202,Sainte-Foy-lès-Lyon,0.0,2.6830208031465497,9.06302623814364,13.804807403489523,0.90701213750257
69034,Caluire-et-Cuire,69204,Saint-Genis-Laval,0.0,0.0,0.0,53.53747586499954,3.03331230333901
69034,Caluire-et-Cuire,69205,Saint-Genis-les-Ollières,0.0,0.0,0.0,5.894144420484239,0.0
69034,Caluire-et-Cuire,69208,Saint-Germain-Nuelles,0.0,0.0,0.0,1.81402427500514,0.0
69034,Caluire-et-Cuire,69234,Saint-Romain-de-Popey,0.0,0.0,0.0,12.92913080794828,0.0
69034,Caluire-et-Cuire,69241,Taluyers,0.0,0.0,0.0,8.26390699459115,0.0
69034,Caluire-et-Cuire,69242,Taponas,0.0,0.0,0.0,6.323538760193779,0.0
69034,Caluire-et-Cuire,69243,Tarare,0.0,0.0,0.0,2.6883787421311496,0.0
69034,Caluire-et-Cuire,69244,Tassin-la-Demi-Lune,0.0,0.0,6.39527057018419,26.2828384140392,17.57725734440169
69034,Caluire-et-Cuire,69250,La Tour-de-Salvagny,0.0,0.0,3.47816446485763,9.09232490821457,0.0
69034,Caluire-et-Cuire,69255,Vaugneray,0.0,0.0,0.0,10.24493266641896,0.0
69034,Caluire-et-Cuire,69256,Vaulx-en-Velin,3.38816185154512,0.0,9.64017686322424,299.23702768568756,84.44918142627397
69034,Caluire-et-Cuire,69257,Vaux-en-Beaujolais,0.0,0.0,0.0,3.16482837230401,0.0
69034,Caluire-et-Cuire,69259,Vénissieux,0.0,0.0,0.0,190.7597667294265,43.3982436111033
69034,Caluire-et-Cuire,69260,Vernaison,0.0,0.0,0.0,3.09795591004094,3.55369924820687
69034,Caluire-et-Cuire,69264,Villefranche-sur-Saône,0.0,0.0,0.0,70.68308902175745,13.10817745242453
69034,Caluire-et-Cuire,69266,Villeurbanne,0.0,21.320998301107302,60.03081901197914,709.1195393820941,327.83234628959633
69034,Caluire-et-Cuire,69268,Vourles,0.0,0.0,0.0,14.31710387571197,3.41500624279689
69034,Caluire-et-Cuire,69270,Chaponnay,0.0,0.0,0.0,19.165194224079826,0.0
69034,Caluire-et-Cuire,69271,Chassieu,0.0,0.0,6.68934843882529,78.79470830295234,3.16311300220815
69034,Caluire-et-Cuire,69273,Corbas,0.0,0.0,1.01669427849169,43.47386207372394,5.55269098619293
69034,Caluire-et-Cuire,69275,Décines-Charpieu,0.0,0.0,6.29385659788596,101.4767203399477,13.57141768237971
69034,Caluire-et-Cuire,69276,Feyzin,0.0,0.0,0.0,22.04165522853071,0.0
69034,Caluire-et-Cuire,69277,Genas,0.0,0.0,0.0,55.054858629379716,0.0
69034,Caluire-et-Cuire,69278,Genay,0.0,0.0,9.276616488660391,42.53771653600428,9.168072683165
69034,Caluire-et-Cuire,69279,Jonage,0.0,0.0,0.0,3.2486811840339302,0.0
69034,Caluire-et-Cuire,69282,Meyzieu,0.0,0.0,0.0,85.03121750623097,2.67462311209979
69034,Caluire-et-Cuire,69283,Mions,0.0,0.0,0.0,12.34503869516022,0.0
69034,Caluire-et-Cuire,69284,Montanay,0.0,0.0,0.0,6.011840037826699,0.0
69034,Caluire-et-Cuire,69285,Pusignan,0.0,0.0,0.0,13.587313415077741,1.00233874808944
69034,Caluire-et-Cuire,69286,Rillieux-la-Pape,0.0,1.01669427849169,15.22930892709611,499.1704327396238,110.27481840589762
69034,Caluire-et-Cuire,69287,Saint-Bonnet-de-Mure,0.0,0.0,2.99048250886559,17.461639115469197,0.0
69034,Caluire-et-Cuire,69288,Saint-Laurent-de-Mure,0.0,0.0,0.0,14.73577106048835,0.0
69034,Caluire-et-Cuire,69289,Saint-Pierre-de-Chandieu,0.0,0.0,3.6663033193989403,0.0,0.0
69034,Caluire-et-Cuire,69290,Saint-Priest,1.01085124814677,3.2011039380662902,11.3349840056294,394.3790960899884,51.68461316375535
69034,Caluire-et-Cuire,69291,Saint-Symphorien-d'Ozon,0.0,0.0,0.0,11.43428094198682,0.0
69034,Caluire-et-Cuire,69292,Sathonay-Camp,0.0,1.01575558310974,0.0,33.27571231484527,19.0193185258371
69034,Caluire-et-Cuire,69293,Sathonay-Village,0.0,0.0,0.0,9.28646194215954,0.88051992308607
69034,Caluire-et-Cuire,69296,Solaize,0.0,0.0,0.0,9.9931322917922,0.0
69034,Caluire-et-Cuire,69297,Ternay,0.0,0.0,3.47816446485763,0.0,0.0
69034,Caluire-et-Cuire,69298,Toussieu,0.0,0.0,0.0,3.61967533548117,0.0
69034,Caluire-et-Cuire,69299,Colombier-Saugnieu,3.0161585285669603,0.0,0.0,34.030957156040586,0.0
69034,Caluire-et-Cuire,69381,Lyon 1er Arrondissement,0.0,39.852056359031664,54.662998446163385,192.9680836995977,219.96660573130163
69034,Caluire-et-Cuire,69382,Lyon 2e Arrondissement,2.6135936997721,41.59083465822012,73.38625072293596,294.4547325470545,471.84583447688226
69034,Caluire-et-Cuire,69383,Lyon 3e Arrondissement,3.62968647066482,11.058897308033078,177.15532574645678,782.0893015646768,719.2208942322038
69034,Caluire-et-Cuire,69384,Lyon 4e Arrondissement,2.69222892752402,205.54671705162318,98.88806627947096,514.619490568392,298.5285338477291
69034,Caluire-et-Cuire,69385,Lyon 5e Arrondissement,0.0,11.05388514011184,24.18940055943655,94.80055855238606,156.4108294425789
69034,Caluire-et-Cuire,69386,Lyon 6e Arrondissement,2.7456713914507995,63.748715401407864,89.89281359670234,582.9521997883675,434.52288727527053
69034,Caluire-et-Cuire,69387,Lyon 7e Arrondissement,0.0,3.57143233693787,52.88469383025845,363.9567897593881,278.7416137607153
69034,Caluire-et-Cuire,69388,Lyon 8e Arrondissement,1.06020039150855,4.68299759789063,26.98067459831345,197.69796138161877,120.50036055248152
69034,Caluire-et-Cuire,69389,Lyon 9e Arrondissement,3.0545112327697996,23.820035547289656,60.15732320268098,368.2339529242741,138.13902937155908
69035,Cenves,69035,Cenves,40.835509138381205,0.0,0.0,20.417754569190603,0.0
69035,Cenves,69182,Saint-Bonnet-des-Bruyères,0.0,0.0,0.0,5.104438642297651,0.0
69035,Cenves,69244,Tassin-la-Demi-Lune,0.0,0.0,0.0,5.104438642297651,0.0
69035,Cenves,69250,La Tour-de-Salvagny,0.0,0.0,0.0,5.104438642297651,0.0
69035,Cenves,69383,Lyon 3e Arrondissement,0.0,0.0,0.0,5.104438642297651,0.0
69035,Cenves,69386,Lyon 6e Arrondissement,0.0,0.0,0.0,0.0,5.104438642297651
69035,Cenves,69388,Lyon 8e Arrondissement,0.0,0.0,0.0,5.104438642297651,0.0
69036,Cercié,69003,Albigny-sur-Saône,0.0,0.0,0.0,5.03306023389924,0.0
69036,Cercié,69005,Ambérieux,0.0,0.0,0.0,5.03306023389924,0.0
69036,Cercié,69013,Arnas,0.0,0.0,0.0,25.09426791923177,0.0
69036,Cercié,69018,Beaujeu,0.0,0.0,0.0,4.997417402105549,0.0
69036,Cercié,69019,Belleville-en-Beaujolais,0.0,0.0,0.0,25.27400917290317,5.06895727929094
69036,Cercié,69023,Blacé,0.0,0.0,0.0,5.14152127625974,0.0
69036,Cercié,69024,Val d'Oingt,0.0,0.0,0.0,5.03306023389924,0.0
69036,Cercié,69036,Cercié,25.13169571132784,5.03306023389924,5.03306023389924,70.93232118438698,0.0
69036,Cercié,69072,Dardilly,0.0,0.0,0.0,9.994834804211099,0.0
69036,Cercié,69081,Écully,0.0,0.0,0.0,0.0,10.10201751319018
69036,Cercié,69092,Gleizé,0.0,0.0,0.0,10.10201751319018,0.0
69036,Cercié,69109,Lantignié,0.0,0.0,0.0,5.10511035139554,0.0
69036,Cercié,69115,Limas,0.0,0.0,0.0,10.13817058529478,0.0
69036,Cercié,69127,Marcy-l'Étoile,0.0,0.0,0.0,5.03306023389924,0.0
69036,Cercié,69152,Pierre-Bénite,0.0,0.0,0.0,4.997417402105549,0.0
69036,Cercié,69162,Quincié-en-Beaujolais,0.0,0.0,0.0,5.10511035139554,0.0
69036,Cercié,69202,Sainte-Foy-lès-Lyon,0.0,0.0,0.0,9.994834804211099,0.0
69036,Cercié,69206,Saint-Georges-de-Reneins,0.0,0.0,0.0,10.10252775350109,0.0
69036,Cercié,69211,,0.0,0.0,0.0,10.24663162765528,0.0
69036,Cercié,69218,Saint-Lager,0.0,0.0,10.06612046779848,25.381709374744702,0.0
69036,Cercié,69264,Villefranche-sur-Saône,0.0,0.0,0.0,20.276599023349164,5.03306023389924
69036,Cercié,69266,Villeurbanne,0.0,0.0,0.0,0.0,5.10511035139554
69036,Cercié,69283,Mions,0.0,0.0,0.0,5.10511035139554,0.0
69036,Cercié,69290,Saint-Priest,0.0,0.0,0.0,0.0,4.997417402105549
69036,Cercié,69381,Lyon 1er Arrondissement,0.0,0.0,0.0,0.0,5.03306023389924
69036,Cercié,69382,Lyon 2e Arrondissement,0.0,0.0,0.0,0.0,5.03306023389924
69036,Cercié,69383,Lyon 3e Arrondissement,0.0,0.0,0.0,0.0,10.13791455858188
69036,Cercié,69386,Lyon 6e Arrondissement,0.0,0.0,0.0,5.03306023389924,10.13817058529478
69036,Cercié,69389,Lyon 9e Arrondissement,0.0,0.0,0.0,5.03306023389924,0.0
69037,Chambost-Allières,69004,Alix,0.0,0.0,0.0,5.116157692805941,0.0
69037,Chambost-Allières,69010,L'Arbresle,0.0,0.0,0.0,5.07091212423824,0.0
69037,Chambost-Allières,69024,Val d'Oingt,0.0,0.0,0.0,5.02606669217884,0.0
69037,Chambost-Allières,69037,Chambost-Allières,35.45273630846116,10.232315385611882,5.116157692805941,86.34767735681105,0.0
69037,Chambost-Allières,69039,Chamelet,0.0,0.0,0.0,4.98161785795572,0.0
69037,Chambost-Allières,69044,Charbonnières-les-Bains,0.0,0.0,0.0,5.07091212423824,0.0
69037,Chambost-Allières,69049,Chasselay,0.0,0.0,0.0,5.02606669217884,0.0
69037,Chambost-Allières,69050,Châtillon,0.0,0.0,0.0,5.16180696812794,0.0
69037,Chambost-Allières,69056,Chessy,0.0,0.0,0.0,4.98161785795572,0.0
69037,Chambost-Allières,69069,Craponne,0.0,0.0,0.0,5.116157692805941,0.0
69037,Chambost-Allières,69081,Écully,0.0,0.0,0.0,5.07091212423824,0.0
69037,Chambost-Allières,69089,Francheville,0.0,0.0,0.0,5.116157692805941,0.0
69037,Chambost-Allières,69093,Grandris,0.0,0.0,0.0,5.02606669217884,0.0
69037,Chambost-Allières,69107,Lamure-sur-Azergues,0.0,0.0,0.0,15.394933369350174,0.0
69037,Chambost-Allières,69113,Létra,0.0,0.0,0.0,5.116157692805941,0.0
69037,Chambost-Allières,69121,Lozanne,0.0,0.0,0.0,5.02606669217884,0.0
69037,Chambost-Allières,69127,Marcy-l'Étoile,0.0,0.0,0.0,5.02606669217884,0.0
69037,Chambost-Allières,69130,Meaux-la-Montagne,0.0,0.0,0.0,4.98161785795572,0.0
69037,Chambost-Allières,69194,Saint-Didier-au-Mont-d'Or,0.0,0.0,0.0,10.232315385611882,0.0
69037,Chambost-Allières,69198,Saint-Étienne-la-Varenne,0.0,0.0,0.0,5.116157692805941,0.0
69037,Chambost-Allières,69204,Saint-Genis-Laval,0.0,0.0,0.0,5.116157692805941,0.0
69037,Chambost-Allières,69214,Saint-Jean-la-Bussière,0.0,0.0,0.0,4.98161785795572,0.0
69037,Chambost-Allières,69217,Saint-Just-d'Avray,0.0,0.0,0.0,20.33253115611846,0.0
69037,Chambost-Allières,69229,Saint-Nizier-d'Azergues,0.0,0.0,0.0,4.98161785795572,0.0
69037,Chambost-Allières,69231,Saint-Pierre-la-Palud,0.0,0.0,0.0,0.0,5.116157692805941
69037,Chambost-Allières,69243,Tarare,0.0,0.0,0.0,5.02606669217884,0.0
69037,Chambost-Allières,69246,Theizé,0.0,0.0,0.0,4.98161785795572,0.0
69037,Chambost-Allières,69250,La Tour-de-Salvagny,0.0,0.0,0.0,5.07091212423824,0.0
69037,Chambost-Allières,69256,Vaulx-en-Velin,0.0,0.0,0.0,5.116157692805941,0.0
69037,Chambost-Allières,69264,Villefranche-sur-Saône,0.0,0.0,0.0,45.73191923043171,10.18787366030678
69037,Chambost-Allières,69381,Lyon 1er Arrondissement,0.0,0.0,0.0,5.07091212423824,0.0
69037,Chambost-Allières,69383,Lyon 3e Arrondissement,0.0,0.0,0.0,5.07091212423824,5.02606669217884
69037,Chambost-Allières,69389,Lyon 9e Arrondissement,0.0,0.0,0.0,0.0,5.07091212423824
69038,Chambost-Longessaigne,69010,L'Arbresle,0.0,0.0,0.0,20.02138285964572,0.0
69038,Chambost-Longessaigne,69021,Bessenay,0.0,0.0,5.00534571491143,5.00534571491143,0.0
69038,Chambost-Longessaigne,69029,Bron,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69031,Brussieu,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69032,Bully,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69038,Chambost-Longessaigne,45.04811143420286,25.026728574557147,0.0,40.04276571929143,0.0
69038,Chambost-Longessaigne,69059,Civrieux-d'Azergues,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69072,Dardilly,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69089,Francheville,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69092,Gleizé,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69099,Haute-Rivoire,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69117,Lissieu,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69120,Longessaigne,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69127,Marcy-l'Étoile,0.0,0.0,0.0,10.01069142982286,0.0
69038,Chambost-Longessaigne,69139,Montrottier,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69187,Saint-Clément-les-Places,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69200,Saint-Forgeux,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69201,Sainte-Foy-l'Argentière,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69203,Saint-Genis-l'Argentière,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69220,Saint-Laurent-de-Chamousset,0.0,0.0,0.0,25.026728574557147,0.0
69038,Chambost-Longessaigne,69238,Saint-Symphorien-sur-Coise,0.0,0.0,0.0,10.01069142982286,0.0
69038,Chambost-Longessaigne,69243,Tarare,0.0,0.0,0.0,10.01069142982286,0.0
69038,Chambost-Longessaigne,69263,Villechenève,0.0,5.00534571491143,0.0,0.0,0.0
69038,Chambost-Longessaigne,69264,Villefranche-sur-Saône,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69290,Saint-Priest,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69381,Lyon 1er Arrondissement,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69384,Lyon 4e Arrondissement,0.0,0.0,0.0,5.00534571491143,0.0
69038,Chambost-Longessaigne,69386,Lyon 6e Arrondissement,0.0,0.0,0.0,5.00534571491143,0.0
69039,Chamelet,69006,Amplepuis,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69009,Anse,0.0,0.0,0.0,9.80938416422288,0.0
69039,Chamelet,69010,L'Arbresle,0.0,0.0,0.0,14.71407624633432,0.0
69039,Chamelet,69024,Val d'Oingt,0.0,0.0,0.0,29.428152492668637,0.0
69039,Chamelet,69039,Chamelet,29.428152492668637,0.0,0.0,39.237536656891514,0.0
69039,Chamelet,69050,Châtillon,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69072,Dardilly,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69107,Lamure-sur-Azergues,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69112,Lentilly,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69113,Létra,0.0,0.0,0.0,9.80938416422288,0.0
69039,Chamelet,69116,Limonest,0.0,0.0,0.0,14.71407624633432,0.0
69039,Chamelet,69121,Lozanne,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69127,Marcy-l'Étoile,0.0,0.0,0.0,9.80938416422288,0.0
69039,Chamelet,69133,Millery,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69143,Neuville-sur-Saône,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69173,Sarcey,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69190,Sainte-Consorce,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69202,Sainte-Foy-lès-Lyon,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69208,Saint-Germain-Nuelles,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69243,Tarare,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69244,Tassin-la-Demi-Lune,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69245,Ternand,0.0,0.0,0.0,9.80938416422288,0.0
69039,Chamelet,69246,Theizé,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69264,Villefranche-sur-Saône,0.0,0.0,0.0,19.61876832844576,0.0
69039,Chamelet,69271,Chassieu,0.0,0.0,0.0,9.80938416422288,0.0
69039,Chamelet,69284,Montanay,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69286,Rillieux-la-Pape,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69296,Solaize,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69382,Lyon 2e Arrondissement,0.0,0.0,0.0,4.90469208211144,0.0
69039,Chamelet,69383,Lyon 3e Arrondissement,0.0,0.0,0.0,9.80938416422288,0.0
69039,Chamelet,69387,Lyon 7e Arrondissement,0.0,0.0,0.0,14.71407624633432,4.90469208211144
69039,Chamelet,69389,Lyon 9e Arrondissement,0.0,0.0,0.0,0.0,4.90469208211144
69040,Champagne-au-Mont-d'Or,69010,L'Arbresle,0.0,0.0,0.0,5.070871623427941,0.0
69040,Champagne-au-Mont-d'Or,69027,Brignais,0.0,0.0,0.0,10.141743246855881,0.0
69040,Champagne-au-Mont-d'Or,69029,Bron,0.0,0.0,0.0,15.212614870283822,5.070871623427941
69040,Champagne-au-Mont-d'Or,69034,Caluire-et-Cuire,0.0,0.0,5.070871623427941,25.354358117139704,0.0
69040,Champagne-au-Mont-d'Or,69040,Champagne-au-Mont-d'Or,60.85045948113529,86.20481759827496,0.0,187.62225006683363,35.496101363995585
69040,Champagne-au-Mont-d'Or,69043,Chaponost,0.0,0.0,0.0,5.070871623427941,0.0
69040,Champagne-au-Mont-d'Or,69044,Charbonnières-les-Bains,0.0,0.0,0.0,5.070871623427941,5.070871623427941
69040,Champagne-au-Mont-d'Or,69052,Chazay-d'Azergues,0.0,0.0,0.0,10.141743246855881,0.0
69040,Champagne-au-Mont-d'Or,69063,Collonges-au-Mont-d'Or,0.0,0.0,0.0,10.141743246855881,0.0
69040,Champagne-au-Mont-d'Or,69069,Craponne,0.0,0.0,0.0,10.141743246855881,0.0
69040,Champagne-au-Mont-d'Or,69072,Dardilly,0.0,0.0,5.070871623427941,91.27568922170289,15.212614870283822
69040,Champagne-au-Mont-d'Or,69080,Échalas,0.0,0.0,0.0,0.0,5.070871623427941
69040,Champagne-au-Mont-d'Or,69081,Écully,5.070871623427941,30.425229740567644,5.070871623427941,91.27568922170289,10.141743246855881
69040,Champagne-au-Mont-d'Or,69091,Givors,0.0,0.0,0.0,5.070871623427941,0.0
69040,Champagne-au-Mont-d'Or,69092,Gleizé,0.0,0.0,0.0,5.070871623427941,0.0
69040,Champagne-au-Mont-d'Or,69112,Lentilly,0.0,0.0,0.0,5.070871623427941,0.0
69040,Champagne-au-Mont-d'Or,69116,Limonest,0.0,0.0,5.070871623427941,86.20481759827496,10.141743246855881
69040,Champagne-au-Mont-d'Or,69117,Lissieu,0.0,0.0,0.0,5.070871623427941,0.0
69040,Champagne-au-Mont-d'Or,69121,Lozanne,0.0,0.0,0.0,10.141743246855881,0.0
